USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24001000100	486755796	7821335	187.937	3.02	39.6365143	-78.5094487                                                                                                                                    
MD	24001000200	124508288	3080200	48.073	1.189	39.6123134	-78.7031037                                                                                                                                    
MD	24001000300	22375901	5874	8.639	0.002	39.7076691	-78.7441413                                                                                                                                         
MD	24001000400	9642972	61044	3.723	0.024	39.6843864	-78.7270568                                                                                                                                         
MD	24001000500	11451817	157507	4.422	0.061	39.6546637	-78.7294891                                                                                                                                       
MD	24001000600	4098568	70648	1.582	0.027	39.6409546	-78.7398353                                                                                                                                         
MD	24001000700	1844978	0	0.712	0.	39.6329587	-78.7526552                                                                                                                                                
MD	24001000800	3271526	408357	1.263	0.158	39.6288831	-78.7630037                                                                                                                                        
MD	24001001000	1178741	2863	0.455	0.001	39.657356	-78.7675027                                                                                                                                           
MD	24001001100	780807	34137	0.301	0.013	39.6510064	-78.7722271                                                                                                                                          
MD	24001001200	7227222	224135	2.79	0.087	39.6560734	-78.787004                                                                                                                                          
MD	24001001300	9705281	304110	3.747	0.117	39.6170751	-78.8129207                                                                                                                                        
MD	24001001401	38008752	6788	14.675	0.003	39.6432593	-78.8338076                                                                                                                                        
MD	24001001402	2972300	0	1.148	0.	39.6519409	-78.8099591                                                                                                                                                
MD	24001001502	23694518	95956	9.149	0.037	39.7083262	-78.8029698                                                                                                                                        
MD	24001001503	29897893	10162	11.544	0.004	39.7091742	-78.8684222                                                                                                                                       
MD	24001001600	19366810	7772	7.478	0.003	39.6898438	-78.9301097                                                                                                                                         
MD	24001001700	32782303	26908	12.657	0.01	39.6632838	-78.8720813                                                                                                                                        
MD	24001001800	9089058	2338	3.509	0.001	39.6570617	-78.9459687                                                                                                                                          
MD	24001001900	62648902	73800	24.189	0.028	39.6087821	-78.9348917                                                                                                                                       
MD	24001002000	69415947	1288934	26.802	0.498	39.5639618	-78.893989                                                                                                                                      
MD	24001002100	62539848	62197	24.147	0.024	39.5551974	-78.9860824                                                                                                                                       
